SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
674798918,00089M01:01:55.449,0089 00:55:18,761.25,,1
674798919,00089M01:01:56.423,0089 00:55:19,761.20,,1
674798920,00089M01:01:57.396,0089 00:55:20,761.23,,1
674798921,00089M01:01:58.369,0089 00:55:21,761.14,,1
674798922,00089M01:01:59.342,0089 00:55:22,761.20,,1
674798923,00089M01:02:00.316,0089 00:55:23,761.23,,1
674798924,00089M01:02:01.289,0089 00:55:24,761.20,,1
674798925,00089M01:02:02.262,0089 00:55:25,761.24,,1
674798926,00089M01:02:03.235,0089 00:55:26,761.22,,1
674798927,00089M01:02:04.209,0089 00:55:27,761.22,,1
674798928,00089M01:02:05.182,0089 00:55:28,761.22,,1
674798929,00089M01:02:06.155,0089 00:55:29,761.15,,1
674798930,00089M01:02:07.128,0089 00:55:30,761.17,,1
674798931,00089M01:02:08.102,0089 00:55:31,761.12,,1
674798932,00089M01:02:09.075,0089 00:55:31,761.19,,1
674798933,00089M01:02:10.048,0089 00:55:32,761.19,,1
674798934,00089M01:02:11.021,0089 00:55:33,761.20,,1
674798935,00089M01:02:11.995,0089 00:55:34,761.16,,1
674798936,00089M01:02:12.968,0089 00:55:35,761.23,,1
674798937,00089M01:02:13.941,0089 00:55:36,761.20,,1
674798938,00089M01:02:14.914,0089 00:55:37,761.20,,1
674798939,00089M01:02:15.888,0089 00:55:38,761.15,,1
674798940,00089M01:02:16.861,0089 00:55:39,761.20,,1
674798941,00089M01:02:17.834,0089 00:55:40,761.17,,1
674798942,00089M01:02:18.807,0089 00:55:41,761.18,,1
674798943,00089M01:02:19.781,0089 00:55:42,761.15,,1
674798944,00089M01:02:20.754,0089 00:55:43,761.17,,1
674798945,00089M01:02:21.727,0089 00:55:44,761.21,,1
674798946,00089M01:02:22.700,0089 00:55:45,761.19,,1
674798947,00089M01:02:23.674,0089 00:55:46,761.15,,1
674798948,00089M01:02:24.647,0089 00:55:47,761.25,,1
674798949,00089M01:02:25.620,0089 00:55:48,761.19,,1
674798950,00089M01:02:26.593,0089 00:55:49,761.16,,1
674798951,00089M01:02:27.567,0089 00:55:50,761.21,,1
674798952,00089M01:02:28.540,0089 00:55:51,761.23,,1
674798953,00089M01:02:29.513,0089 00:55:52,761.20,,1
674798954,00089M01:02:30.486,0089 00:55:53,761.18,,1
674798955,00089M01:02:31.460,0089 00:55:54,761.20,,1
674798956,00089M01:02:32.433,0089 00:55:55,761.20,,1
674798957,00089M01:02:33.406,0089 00:55:56,761.17,,1
674798958,00089M01:02:34.380,0089 00:55:57,761.22,,1
674798959,00089M01:02:35.353,0089 00:55:58,761.22,,1
674798960,00089M01:02:36.326,0089 00:55:59,761.17,,1
674798961,00089M01:02:37.299,0089 00:56:00,761.22,,1
674798962,00089M01:02:38.273,0089 00:56:01,761.19,,1
674798963,00089M01:02:39.246,0089 00:56:02,761.21,,1
674798964,00089M01:02:40.219,0089 00:56:03,761.17,,1
674798965,00089M01:02:41.192,0089 00:56:04,761.16,,1
674798966,00089M01:02:42.166,0089 00:56:05,761.23,,1
674798967,00089M01:02:43.139,0089 00:56:06,761.18,,1
674798968,00089M01:02:44.112,0089 00:56:07,761.16,,1
674798969,00089M01:02:45.085,0089 00:56:07,761.18,,1
674798970,00089M01:02:46.059,0089 00:56:08,761.18,,1
674798971,00089M01:02:47.032,0089 00:56:09,761.16,,1
674798972,00089M01:02:48.005,0089 00:56:10,761.15,,1
674798973,00089M01:02:48.978,0089 00:56:11,761.13,,1
674798974,00089M01:02:49.952,0089 00:56:12,761.15,,1
674798975,00089M01:02:50.925,0089 00:56:13,761.15,,1
674798976,00089M01:02:51.898,0089 00:56:14,761.15,,1
674798977,00089M01:02:52.871,0089 00:56:15,761.19,,1
674798978,00089M01:02:53.845,0089 00:56:16,761.15,,1
674798979,00089M01:02:54.818,0089 00:56:17,761.21,,1
674798980,00089M01:02:55.791,0089 00:56:18,761.18,,1
674798981,00089M01:02:56.764,0089 00:56:19,761.21,,1
674798982,00089M01:02:57.738,0089 00:56:20,761.23,,1
674798983,00089M01:02:58.711,0089 00:56:21,761.23,,1
674798984,00089M01:02:59.684,0089 00:56:22,761.18,,1
674798985,00089M01:03:00.657,0089 00:56:23,761.25,,1
674798986,00089M01:03:01.631,0089 00:56:24,761.18,,1
674798987,00089M01:03:02.604,0089 00:56:25,761.17,,1
674798988,00089M01:03:03.577,0089 00:56:26,761.24,,1
674798989,00089M01:03:04.550,0089 00:56:27,761.17,,1
674798990,00089M01:03:05.524,0089 00:56:28,761.24,,1
674798991,00089M01:03:06.497,0089 00:56:29,761.22,,1
674798992,00089M01:03:07.470,0089 00:56:30,761.17,,1
674798993,00089M01:03:08.443,0089 00:56:31,761.21,,1
674798994,00089M01:03:09.417,0089 00:56:32,761.24,,1
674798995,00089M01:03:10.390,0089 00:56:33,761.24,,1
